Vibration_01,Vibration_02,Vibration_03,Temperature_01,RPM_Sensor_01,Failure Type,Target,Failure Type Name
4.094888113,4.670560726,2.532947343,45.15006684,446.4990212,1,1,Trimmer Bearing Fault
4.117968675,5.720774823,3.819290282,44.14767321,428.6114019,3,0,No Failure
4.585269553,2,2,35.40264313,413.5184462,1,1,Trimmer Bearing Fault
2.095915408,4.891233162,2,33.92270509,443.0706527,1,1,Trimmer Bearing Fault
5.40092781,2,3.813890151,27.7439119,381.2887176,1,1,Trimmer Bearing Fault
4.747218425,7.554748403,3.153024199,28.02573185,409.4268591,3,0,No Failure
4.51387047,5.523327188,3.833563191,46.03326448,367.7577413,3,0,No Failure
2.329596119,4.511456101,4.12896691,29.65212237,370.4775993,3,0,No Failure
3.018782477,3.520356737,6.727135375,48.33687929,423.2979977,3,0,No Failure
4.001745128,4.711113913,6.557735679,44.07105682,367.1797554,3,0,No Failure
7.974452381,2.365618871,2,27.76469285,393.4590359,1,1,Trimmer Bearing Fault
4.681638189,2.683403479,3.980121247,35.41304156,446.8861853,3,0,No Failure
4.78189966,6.441501511,6.26985776,45.7725811,366.1159936,3,0,No Failure
6.337603713,4.114974317,2.535498397,49.22023709,361.3903234,3,0,No Failure
3.314616691,5.498276928,5.784432262,28.3615617,423.8525135,3,0,No Failure
7.686199837,2.798917148,7.976847976,48.92139633,387.7678655,3,0,No Failure
3.213347158,3.617170225,5.830467848,41.6391375,440.1757277,3,0,No Failure
3.482293827,5.206179796,6.424778049,28.80163421,427.0571758,3,0,No Failure
6.420790283,6.177574537,3.035492334,29.30668386,367.8412826,3,0,No Failure
7.320145537,5.882565712,4.982218737,34.78288982,399.9515202,3,0,No Failure
7.490285245,3.0849885,2.03326934,38.96905951,386.6253657,3,0,No Failure
5.887264568,5.777040005,4.815438434,49.4603757,449.542993,3,0,No Failure
2.174523631,4.471974876,3.401295275,33.64205933,378.3012875,3,0,No Failure
5.04415166,4.546708463,7.4101668,46.98872663,407.6848304,3,0,No Failure
7.187514308,4.251207466,2.221315333,28.20188052,402.4690492,3,0,No Failure
4.434622009,4.971453731,7.245170316,37.75891966,357.6179814,3,0,No Failure
7.247174432,5.573124444,4.444702797,29.98731417,413.0391992,3,0,No Failure
5.919332501,5.092608655,3.135192416,40.65894737,426.9247817,3,0,No Failure
4.464342696,6.967549428,7.151313733,37.00408123,428.0749201,3,0,No Failure
3.795250541,4.437258567,2.925111281,34.55150485,384.4358966,3,0,No Failure
2.515191178,7.891519165,4.971660023,32.02502499,383.8268564,3,0,No Failure
2.964149019,5.343339894,7.771544778,48.85566513,367.4603308,3,0,No Failure
2.250966193,3.635252083,3.066749077,47.32423208,358.2212842,3,0,No Failure
7.279298301,2.678931842,2.950660066,29.0530642,376.6546051,1,1,Trimmer Bearing Fault
4.927500737,3.285850071,7.374424669,31.40322092,379.3680087,3,0,No Failure
3.01710756,7.804579102,6.936482881,47.11956772,430.8893683,3,0,No Failure
2.113962385,2.296080914,2.606211945,34.35470998,396.0669607,3,0,No Failure
7.337008722,4.419978796,7.091430033,33.55006897,441.5552502,3,0,No Failure
4.502613984,4.200786693,4.732575706,31.48883901,385.4325696,3,0,No Failure
5.980957616,3.16442752,6.295712288,47.54580913,353.9231419,3,0,No Failure
4.222775172,2.215940435,3.541208079,30.31612387,421.3089488,3,0,No Failure
2.620668841,2.926967686,7.694881174,46.8157365,368.0554289,3,0,No Failure
7.922658386,6.248394485,2.955894233,33.88872581,440.7864623,3,0,No Failure
7.342601116,2.159675663,3.926575424,48.21401765,364.013738,3,0,No Failure
2.76361359,5.825890106,4.7806426,39.22490214,431.4681115,3,0,No Failure
6.731483208,7.386759825,5.254610959,34.97807675,352.2283177,3,0,No Failure
3.351222713,2,2,36.77280656,361.9947227,1,1,Trimmer Bearing Fault
2.368465296,6.127471319,2.121885923,33.69819152,407.9361155,3,0,No Failure
6.299683271,7.336429614,7.077832617,49.1547058,424.6841617,3,0,No Failure
4.803418894,7.96454481,3.371255002,46.83538452,380.5212106,3,0,No Failure
4.921883406,3.756354444,4.63549024,39.51183215,433.3457445,3,0,No Failure
3.992208079,3.244504743,3.938940279,49.60120217,408.2055917,3,0,No Failure
3.267051921,2.475063685,2.257364002,35.34834179,434.3026091,3,0,No Failure
2.161353043,2,2,31.05353975,350.6100221,1,1,Trimmer Bearing Fault
7.850857136,7.543907285,3.387391697,31.11400555,386.1715296,3,0,No Failure
4.919799089,2.92389869,4.720104464,36.96163504,429.8663286,3,0,No Failure
4.738469437,3.378909422,2.244828414,38.14592766,399.7036342,3,0,No Failure
3.765546759,4.763285073,5.601653841,37.02208351,446.1214947,3,0,No Failure
7.619734541,3.484576379,7.057424119,38.51112336,442.771951,3,0,No Failure
7.531804634,7.014348583,3.914881028,29.1691519,373.0859836,3,0,No Failure
7.320502469,7.340339575,3.512944036,41.35418236,422.1969973,3,0,No Failure
5.511788901,2.515278706,7.506862742,40.16041073,384.9777939,3,0,No Failure
2.676707564,7.929212318,6.331213614,38.67910933,368.1300484,3,0,No Failure
5.737599107,6.923147481,3.947563851,43.90305329,396.7152862,3,0,No Failure
5.121612748,3.838125006,7.433272389,36.02858647,391.5168953,3,0,No Failure
7.685370079,6.592453247,2.450506376,37.451018,354.45308,3,0,No Failure
7.332184164,4.214872954,4.884558002,47.61622713,424.2640156,3,0,No Failure
2.798790748,6.91042059,4.438151863,44.61857117,426.4212721,3,0,No Failure
6.835575453,3.981363777,6.729709136,40.44287974,359.215487,3,0,No Failure
7.957860207,4.042305938,3.503466675,29.58822082,432.2143141,3,0,No Failure
3.977507194,3.068703662,5.394450974,35.04776635,441.9610685,3,0,No Failure
5.321960111,3.253231885,2.346114971,36.63937757,447.5810073,3,0,No Failure
2.553551275,3.134762043,4.324519117,35.07796087,414.1615637,3,0,No Failure
2.469167441,6.29573099,5.865256876,42.61762791,394.6581122,3,0,No Failure
2.20445317,3.46346856,4.35555985,47.90259264,421.1870375,3,0,No Failure
4.741091441,4.893293653,4.818945972,29.33890657,404.3056151,3,0,No Failure
7.509609987,6.182707231,5.023747942,49.62246222,418.6024117,3,0,No Failure
4.393508001,4.427937031,5.118924958,47.75730594,350.5277517,3,0,No Failure
5.185757834,4.348621324,5.76295059,39.2796105,369.275455,3,0,No Failure
7.408736381,4.344247649,7.202952543,39.74182553,366.131987,3,0,No Failure
7.987988834,3.961022977,6.299307436,48.61141311,362.675939,1,1,Trimmer Bearing Fault
7.67398876,3.855396889,3.80033986,47.98035237,401.9253374,3,0,No Failure
2.980716762,3.969154685,2.517468782,28.88325475,445.6258017,3,0,No Failure
5.576474421,6.576198001,2.24892786,29.31362338,413.0390009,3,0,No Failure
4.886057035,4.782724873,3.276873901,44.89427266,366.4039879,1,1,Trimmer Bearing Fault
2,4.118366585,6.988040805,35.31931951,332.5082894,2,1,Drill Issue
7.41544219,4.849956216,4.273582488,40.71811411,378.990401,3,0,No Failure
4.862689289,3.031963136,5.010145845,29.88784397,418.8162165,3,0,No Failure
3.780087298,3.437489422,7.661487316,49.32143261,410.4099706,3,0,No Failure
3.304123926,3.551992839,3.631492709,48.31179508,438.6752749,3,0,No Failure
4.642177976,3.057003112,6.427708418,32.80513018,402.6826858,3,0,No Failure
2.752780083,6.634689823,5.197132317,29.64802887,367.9844113,3,0,No Failure
3.194332856,7.402475278,7.402498137,46.88657066,392.1547396,3,0,No Failure
